proj_name,false_north,false_east,scale_factor,azimuth_angl,origin_lat,origin_long,radius,eccentricity,flattening,prime_merid
MALAYA, 442421.285, 472855.336, 0.99984, 5.637863613, 0.069813170, 1.784599160, 6377304.063, 0.0814729809826526, 300.8017, 1
OMALSK1M,-5000000.0 ,5000000.0 ,0.9999 ,5.6396842009317605,0.9948376736367679,-2.332923434080863 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
OMALSK1F,-5000000.0 ,5000000.0 ,0.9999 ,5.6396842009317605,0.9948376736367679,-2.332923434080863 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  

