proj_name,false_north,false_east,false_olat,false_olon,scale_factor,centre_merid,first_paral,second_paral,centre_lat,defined,grid_north,false_onorth,false_oeast,radius,eccentricity,flattening,prime_merid
L2MINCF83,328083.3333,2624666.666,0,0,0.999922025,-1.64497282,0.796161028,0.821177413,0.78525,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2MINNF83,328083.3333,2624666.666,0,0,0.99990282,-1.624901534,0.820886524,0.848811792,0.811425,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2MINSF83,328083.3333,2624666.666,0,0,0.999922043,-1.640609497,0.764163324,0.789179711,0.75035,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2MON2   ,0.0,0.0,0.0,0.0,0.9993927133661634,1.8151424220741028,0.7330382,0.8726646,0.8028514,1,0.0 ,0.0 ,0.0 ,6378245.0 ,0.0818133340169312,298.3 ,1
L2MTF83 ,0,1968500,0,0,0.999392636,-1.911135531,0.855211333,0.785398163,0.7721625,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2NEBF83 ,0,1640416.666,0,0,0.999658595,-1.745329252,0.750491578,0.698131701,0.695164748,1,0,0,0,20925832.16,0.081819191,298.2572221,1
L2NCAFT83,0,2000000.002,0,0,0.999872598,-1.378810109,0.599229709,0.631227413,0.589048713,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2NDNFT83 ,0,1968500,0,0,0.999935842,-1.754055898,0.850557122,0.827867841,0.820304874,1,0,0,600000,20925391.87,0.081819191,298.2572221,1
L2NDSFT83,0,1968500,0,0,0.999935854,-1.754055898,0.806051226,0.828740506,0.797033872,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2NEWYF83,0,984249.9998,0,0,0.999994901,-1.291543646,0.70976723,0.716166769,0.701040749,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2OHINF83,0,1968500,0,0,0.999939143,-1.439896633,0.705694794,0.727802298,0.692314049,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2OHISF83,0,1968500,0,0,0.999935911,-1.439896633,0.676024196,0.698713477,0.663225218,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2OKLNF83,0,1968500,0,0,0.999945409,-1.710422667,0.641699389,0.620755438,0.610865332,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2OKLSF83,0,1968500,0,0,0.999935942,-1.710422667,0.614937673,0.592248392,0.581776448,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2ORENF83,0,8202083.332,0,0,0.999894587,-2.103121749,0.773762634,0.802851456,0.762127282,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2ORESF83,0,4921249.999,0,0,0.999894612,-2.103121749,0.738856049,0.767944871,0.727220691,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2PANFT83,0,1968500,0,0,0.999956842,-1.356993493,0.713548775,0.732165621,0.70104069,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2PASFT83,0,1968500,0,0,0.999971513,-1.356993493,0.696968147,0.712094335,0.686496278,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2PRVF83,656166.6665,656166.6665,0,0,0.999993945,-1.159480399,0.321722358,0.314741041,0.311250425,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2TENNF83,0,1968500,0,0,0.999948404,-1.500983157,0.615228561,0.635590737,0.599229796,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2TXCF83 ,9842499.998,2296583.333,0,0,0.999881744,-1.751147016,0.556469143,0.525634994,0.517781011,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2TXNCF83,6561666.665,1968500,0,0,0.999872623,-1.719149313,0.59283017,0.560832466,0.552687602,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2TXNF83 ,3280833.333,656166.6665,0,0,0.99991088,-1.771509191,0.604756586,0.6315183,0.593411946,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2TXSCF83,13123333.33,1968500,0,0,0.999863244,-1.727875959,0.528543875,0.495382619,0.485783308,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2TXSF83 ,16404166.66,984249.9998,0,0,0.999894794,-1.719149313,0.485783308,0.456694488,0.447967842,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2UTHCF83,6561666.665,1640416.666,0,0,0.999898825,-1.946042116,0.680969297,0.709476341,0.669042874,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2UTHNF83,3280833.333,1640416.666,0,0,0.999956843,-1.946042116,0.710639894,0.729256739,0.703949464,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2UTHSF83,9842499.998,1640416.666,0,0,0.999951299,-1.946042116,0.649553371,0.669333768,0.63995406,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2VIRNF83,6561666.665,11482916.66,0,0,0.999948388,-1.370083463,0.663806892,0.684169067,0.657407352,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2VIRSF83,3280833.333,11482916.66,0,0,0.999945404,-1.370083463,0.641699389,0.66264334,0.634136294,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WISCF83,0,1968500,0,0,0.999940707,-1.570796327,0.772308194,0.79412481,0.765035988,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WISNF83,0,1968500,0,0,0.999945347,-1.570796327,0.795288363,0.816232314,0.788307046,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WISSF83,0,1968500,0,0,0.99993255,-1.570796327,0.745837366,0.769108424,0.733038286,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WSHNF83,0,1640416.666,0,0,0.999942255,-2.108939512,0.829031395,0.850557122,0.820304748,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WSHSF83,0,1640416.666,0,0,0.999914601,-2.103121749,0.799942573,0.826122512,0.791215922,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WVANF83,0,1968500,0,0,0.999940744,-1.387536755,0.680678408,0.702495024,0.671951762,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2WVASF83,0,1968500,0,0,0.999925682,-1.413716694,0.654207581,0.67864219,0.645771823,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2SCFT83,0,1999996,0,0,0.999945422,-1.413716694,0.567232094,0.607956444,0.555596506,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2SDNFT83,0,1968500,0,0,0.999939114,-1.745329252,0.775217077,0.797324579,0.765036106,1,0,0,0,20925391.87,0.081819191,298.2572221,1
L2SDSFT83,0,1968500,0,0,0.999906874,-1.751147016,0.747582696,0.774926188,0.738856158,1,0,0,0,20925391.87,0.081819191,298.2572221,1



