name,specified,radius,eccentricity,flattening,metre_factor,prime_merid,merid_value
NTFPARG ,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,5,2.5968981  
NTFPARIS,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,5,2.5968981  
NWL9D ,1,6378145.0 ,0.0818201799960598,298.25 ,1.0 ,1 ,0.0  
NZGD49 ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
OSGB36 ,1,6377563.396 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
OSGB70 ,1,6377563.396 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
OSSN80 ,1,6377563.396 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
PADANG ,1,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
PALEST23,1,6378300.79 ,0.0824832078984994,293.4663696 ,1.0 ,1 ,0.0  
POTSDAM ,1,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
PRS92 ,1,6378206.4 ,0.0822718542249391,294.9786982 ,1.0 ,1 ,0.0  
PSAD56 ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
PTNOIRE ,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
PULKOVO ,1,6378245.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
QATAR ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
QATAR51 ,1,6378200.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
QORNOQ ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
RD ,1,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
SAD69 ,1,6378160.0 ,0.0818201799960599,298.25 ,1.0 ,1 ,0.0  
SPHERE ,0,6371000.0 ,0.0 ,1.0 ,1.0 ,1 ,0.0  
SPHERE2 ,0,6370997.0 ,0.0 ,1.0 ,1.0 ,1 ,0.0  
SUDAN ,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
TANANAR ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
TANANPAR,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,6,2.3372083  
TIMBALAI,1,6377298.556 ,0.0814729809826527,300.8017 ,1.0 ,1 ,0.0  
TIMBALFT,1,20922931.8 ,0.0814729809826527,300.8017 ,0.304799472 ,1 ,0.0  
TM65 ,1,6377340.189 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
TM75 ,1,6377340.189 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
TOKYO ,1,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
TRUCIAL ,1,6378200.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
USAIRMOD,0,6377340.189 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
USAIRY ,0,6377563.396 ,0.0816733738741419,299.3249646 ,1.0 ,1 ,0.0  
USANS ,0,6378160.0 ,0.0818201799960599,298.25 ,1.0 ,1 ,0.0  
USBESMOD,0,6377492.018 ,0.0816968312225277,299.1528128 ,1.0 ,1 ,0.0  
USBESS ,0,6377397.155 ,0.0816968312225275,299.1528128 ,1.0 ,1 ,0.0  
USC58MTR,0,6378293.645 ,0.0823719976935091,294.2606764 ,1.0 ,1 ,0.0  
USC66AFT,0,20925832.16 ,0.0822718542249391,294.9786982 ,0.30480060966 ,1 ,0.0  
USC66MTR,0,6378206.4 ,0.0822718542249391,294.9786982 ,1.0 ,1 ,0.0  
