proj_name,false_north,false_east,radius,eccentricity,flattening,prime_merid
DUTCHNEW,463000.0 ,155000.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
DUTCHOLD,0.0 ,0.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
