proj_name,false_north,false_east,first_paral,second_paral,origin_lat,origin_long,radius,eccentricity,flattening,prime_merid
ALALASK2,-4943910.68 ,0.0 ,1.1344640137963142,0.9599310885968813,0.0 ,-2.670353755551324 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALALASK3,0.0 ,0.0 ,1.1344640137963142,0.9599310885968813,0.0 ,-2.670353755551324 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALALASKA,-4943910.68 ,0.0 ,1.1344640137963142,0.9599310885968813,0.0 ,-2.617993877991494 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALAUS ,10000000.0 ,5000000.0 ,-0.174532925199433 ,-0.698131700797731 ,-0.523598775598298 ,2.3561944901923449,6378388.0 ,0.0819918899790298,297.0 ,1  
ALBERING,10000000.0 ,5000000.0 ,1.0471975511965977,1.2217304763960307,1.0471975511965977,2.9670597283903603,6378245.0 ,0.0818133340169312,298.3 ,1  
ALCAM ,10000000.0 ,5000000.0 ,0.5235987755982989,0.174532925199433 ,0.3490658503988659,-1.22173047639603 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALCANADA,10000000.0 ,5000000.0 ,1.1519173063162575,0.7155849933176751,0.9599310885968813,-1.570796326794896 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALCHI ,10000000.0 ,5000000.0 ,0.7853981633974483,0.3490658503988659,0.6108652381980154,1.9198621771937625,6378245.0 ,0.0818133340169312,298.3 ,1  
ALCOLOMB,10000000.0 ,5000000.0 ,0.0174532925199433,0.0872664625997165,0.0 ,-1.27409035395586 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALDLGAL , 0.0 , 0.0 , 0.959931088597 , 1.134464013796 , 0.872664625997 , -2.687807048071 , 6378206.4 ,0.0822718542249391,294.9786982 ,1
ALDLGHAW, 0.0 , 0.0, 0.139626340160, 0.314159265359, 0.052359877560, -2.740166925631,  6378206.4 ,0.0822718542249391,294.9786982 ,1
ALDLGUSA , 0.0, 0.0, 0.514872129338327, 0.794124809657420, 0.401425727958696, -1.675516081914556, 6378206.4 ,0.0822718542249391,294.9786982 ,1
ALEUR ,10000000.0 ,5000000.0 ,1.2217304763960307,0.6108652381980154,0.8726646259971648,0.2094395102393196,6378388.0 ,0.0819918899790298,297.0 ,1  
ALEURO ,0.0 ,0.0 ,0.6981317007977318,1.0471975511965977,0.0 ,0.2094395102393196,6378388.0 ,0.0819918899790298,297.0 ,1  
ALFAR ,10000000.0 ,5000000.0 ,0.5235987755982989,0.174532925199433 ,0.3490658503988659,1.3962634015954637,6377276.345 ,0.0814729809826527,300.8017 ,1  
ALGMEXIC,10000000.0 ,5000000.0 ,0.4886921905584123,0.3839724354387525,0.4363323129985824,-1.570796326794896 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALGULFFT,-7624216.25 ,3500000.0 ,0.5410520681182422,0.471238898038469 ,0.0 ,-1.570796326794896 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
ALGULFMT,10000000.0 ,5000000.0 ,0.79412480965742 ,0.5148721293383272,0.4014257279586958,-1.570796326794896 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
ALMALIN ,10000000.0 ,5000000.0 ,0.5235987755982989,0.0001454435225564,0.2617993877991494,2.0943951023931955,6377397.155 ,0.0816968312225275,299.1528128 ,1  
ALMEA2 ,5000000.0 ,5000000.0 ,0.4363323182345702,-0.436332312998582 ,0.0 ,0.3490658503988659,6378249.145 ,0.0824834000441851,293.465 ,1  
ALMENA ,10000000.0 ,5000000.0 ,0.6108652381980154,0.0174532925199433,0.3141592653589793,0.3490658503988659,6378249.145 ,0.0824834000441851,293.465 ,1  
ALNSEA ,0.0 ,1000000.0 ,0.9250245035569947,1.0646508437165411,0.0 ,0.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALRUSS ,0.0 ,0.0 ,0.6632251157578452,1.0821041362364844,0.0 ,1.6755160819145564,6378245.0 ,0.0818133340169312,298.3 ,1  
ALSAF ,10000000.0 ,5000000.0 ,-0.017453292519943 ,-0.541052068118242 ,-0.279252680319092 ,0.3490658503988659,6378249.145 ,0.0824834000441851,293.465 ,1  
ALSAM ,10000000.0 ,5000000.0 ,-0.017453292519943 ,-0.959931088596881 ,-0.488692190558412 ,-1.22173047639603 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALVENEZ ,10000000.0 ,5000000.0 ,0.174532925199433 ,0.0698131700797732,0.1221730476396031,-1.151917306316257 ,6378388.0 ,0.0819918899790298,297.0 ,1  
ALWAUST ,10000000.0 ,5000000.0 ,-0.305 ,-0.550 ,-0.523598775598298 ,2.11,6378388.0 ,0.0819918899790298,297.0 ,1  
