proj_name,type,metre_factor,radius,eccentricity,flattening,prime_merid
LEMONG ,lambazea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LENAFRIC,lambazea,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LENSEA ,lambazea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LESAMER ,lambazea,1.0 ,6400000.0 ,0.0 ,1.0 ,1  
LESUR554,lambazea,1.0 ,6371000.0 ,0.0 ,1.0 ,1  
LEUSA0,lambazea,1.0 ,6370997.0 ,0.0 ,9999999999.0,1  
LEWEURO ,lambazea,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
L2ANT1, lambert2, 1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1
L2WA_WGS84, lamcon2, 1.0 ,6378137 ,0.0818191908375549,298.2572236,1
L2ANTDRI, lamcon2, 1.0, 6378206.4, 0.0822718542249391,294.9786982 ,1
L2NSW1 ,lamcon2, 1.0, 6378160.0 ,0.0818201799960599,298.25, 1
L2NSW2 ,lamcon2, 1.0, 6378160.0 ,0.0818201799960599,298.25, 1
LM1ADEN ,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1AFNDX,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1ALGND,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1ALGSD,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1BANG ,lambert1,1.0 ,6377276.345 ,0.0814729809826527,300.8017 ,1  
LM1BLSEA,lambert1,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM1BURMA,lambert1,1.0 ,6377276.345 ,0.0814729809826527,300.8017 ,1  
LM1CARIB,lambert1,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM1CAUC ,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1COLC ,lambert1,1.0 ,6378160.0 ,0.0818201799960599,298.25 ,1  
LM1CORSE,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA1D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA1G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA2D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA2G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA3D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA3G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRA4D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRA4G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRAND,lambert1,1.0 ,6376523.3 ,0.0804334739887246,308.64 ,1  
LM1FRE1D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE1G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRE2D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE2G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRE3D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE3G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1FRE4D,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1FRE4G,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1GREN1,lambert1,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1GRNOR,lambert1,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1GRSUD,lambert1,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1IND1 ,lambert1,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1IND4A,lambert1,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1IRAN ,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1IRAQ ,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1JAFT ,lambert1,0.304799472 ,20926202.0 ,0.082483216582625 ,293.4663077 ,1  
LM1JAMTR,lambert1,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM1KANG ,lambert1,1.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
LM1LEVD ,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1LEVG ,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1LIBS ,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1LIBYA,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1MORND,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1MORSD,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1NEP1 ,lambert1,0.9143988 ,6974283.37 ,0.0814729809826527,300.8017 ,1  
LM1NEP2A,lambert1,0.9143988 ,6974283.37 ,0.0814729809826527,300.8017 ,1  
LM1NEP2B,lambert1,0.9143988 ,6974283.37 ,0.0814729809826527,300.8017 ,1  
LM1NPG ,lambert1,1.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
LM1PA2B ,lambert1,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1PA2BY,lambert1,0.9143988 ,6974310.6 ,0.0814729775350297,300.8017255 ,1  
LM1PAK1 ,lambert1,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1PAK1Y,lambert1,0.9143988 ,6974310.6 ,0.0814729775350297,300.8017255 ,1  
LM1PAK2 ,lambert1,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM1PAK2Y,lambert1,0.9143988 ,6974310.6 ,0.0814729775350297,300.8017255 ,1  
LM1PB1D ,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1PB1G ,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,5 
LM1POL ,lambert1,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1ROM ,lambert1,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM1SHAB ,lambert1,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM1SPAIN,lambert1,1.0 ,6378297.336 ,0.0823064991407691,294.73 ,1  
LM1SPANM,lambert1,1.0 ,6378297.336 ,0.0823064991407691,294.73 ,7 
LM1SYRSD,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1SYRSG,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1TUNND,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1TUNSD,lambert1,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1  
LM1TURK ,lambert1,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM1USSR ,lambert1,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2AF113,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AF114,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AF72 ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AF92 ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AF93 ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AF94 ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AF95 ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2AFE ,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2AFSH ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2ALG ,lambert2,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,1 
L2ALSK10F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2ANT1, lambert2, 1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1
LM2ARAB ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2ARAB2,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1
LM2AREA1,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2AREA2,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2AREA3,lambert2,1.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,1  
LM2ARKNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1
L2ARKNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1   
LM2ARKNM,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2ARKSF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2ARKSF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2ARKSM,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2ASEAN,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,1  
LM2ASIA ,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2AUST ,lambert2,1.0 ,6378160.0 ,0.0818201799960599,298.25 ,1  
LM2AZERB,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2BAREN,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,8 
LM2BELG ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2BKSEA,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2BLACK,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2BLCKS,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2BLKSE,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2BNOR ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,8 
LM2BOF ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2BURMA,lambert2,1.0 ,6377276.345 ,0.0814729809826527,300.8017 ,1  
LM2CAL1F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2CAL1F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2CAL2F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2CAL2F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2CAL3F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2CAL3F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2CAL4F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2CAL4F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2CAL4M,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2CAL5F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2CAL5F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2CAL5M,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2CAL6F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2CAL6F83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2CAL7F,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
LM2CAMER,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,1  
LM2CAN ,lambert2,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM2CAN60,lambert2,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM2CAN78,lambert2,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1  
LM2CBRAZ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,8 
LM2CEGYP,lambert2,1.0 ,6378200.0 ,0.0818133340169312,298.3 ,8 
LM2CFRAN,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,8 
LM2CHBON,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,1  
LM2CHECS,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,1  
LM2CHEOF,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,8 
LM2CHIN ,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,8 
LM2CHINA,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,1  
LM2CHRUS,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2CHYS ,lambert2,1.0 ,6378135.0 ,0.0818188106627489,298.26 ,1  
LM2CM693,lambert2,1.0 ,6378206.4 ,0.0822718542249391,294.9786982 ,1
LM2COLCF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1 
L2COLCF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1  
LM2COLNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2COLNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2COLSF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2COLSF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2COLUM,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2COMAN,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,8 
LM2CONNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1
L2CONNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1   
LM2CONNM,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2CSPN ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,8 
LM2EE ,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2EGYPT,lambert2,1.0 ,6378200.0 ,0.0818133340169312,298.3 ,8 
LM2EUNDX,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,8 
LM2EURO ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2FKLDS,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2FLANF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1 
L2FLANF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2FRANC,lambert2,1.0 ,6378249.2 ,0.0824832567625238,293.4660213 ,8 
LM2GULF ,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
