usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
150,WORLD TEST ECKERT VI ,WORLD,WORLD TEST ECKERT VI ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
151,AMERICAS - TEST ,WORLD,AMERICAS - TEST ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
152,ALL OF AFRICA ,WORLD,ALL OF AFRICA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
153,AUSTRALIA/INDONESIA ,WORLD,AUSTRALIA/INDONESIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
154,SAMERICA ,WORLD,SAMERICA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
155,MONGOLIA ,WORLD,MONGOLIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
156,NORTH AFRICA ,WORLD,NORTH AFRICA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
157,NORTH SEA ,WORLD,NORTH SEA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
158,WESTERN EUROPE ,WORLD,WESTERN EUROPE ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
159,BANGLADESH ,WORLD,BANGLADESH ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
160,BLACK SEA (USSR) ,WORLD,BLACK SEA (USSR) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
161,BURMA ,WORLD,BURMA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
162,CARIBBEAN ,WORLD,CARIBBEAN ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
163,CENTRAL COLOMBIA ,WORLD,CENTRAL COLOMBIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
164,INDIA ,WORLD,INDIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
165,IRAN - WEST ,WORLD,IRAN - WEST ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
166,INDIA BANGLADESH NEPAL ,WORLD,INDIA BANGLADESH NEPAL ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
167,INDIA & BANGLADESH ,WORLD,INDIA & BANGLADESH ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
168,POLAND ,WORLD,POLAND ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
169,ROMANIA ,WORLD,ROMANIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
170,TURKEY ,WORLD,TURKEY ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
171,U.S.S.R. ,WORLD,U.S.S.R. ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
172,SHEET NO.113 ,WORLD,SHEET NO.113 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
173,SHEET NO.114 ,WORLD,SHEET NO.114 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
174,SHEET NO. 72 ,WORLD,SHEET NO. 72 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
175,SHEET NO. 92 ,WORLD,SHEET NO. 92 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
176,SHEET NO. 93 ,WORLD,SHEET NO. 93 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
177,SHEET NO. 94 ,WORLD,SHEET NO. 94 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
178,SHEET NO. 95 ,WORLD,SHEET NO. 95 ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
179,ASIA AND FAR EAST ,WORLD,ASIA AND FAR EAST ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
180,AFRICA (SOUTHERN HEMISPHERE) ,WORLD,AFRICA (SOUTHERN HEMISPHERE) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
181,ALASKA ALEUTIAN ISLANDS ,WORLD,ALASKA ALEUTIAN ISLANDS ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
182,ALGERIA AS A WHOLE ,WORLD,ALGERIA AS A WHOLE ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
183,ARABIAN PENINSULA ,WORLD,ARABIAN PENINSULA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
184,ARKANSAS CO'S N OF 35N ,WORLD,ARKANSAS CO'S N OF 35N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
185,USA ARKANSAS CO'S S OF 34.50N ,WORLD,USA ARKANSAS CO'S S OF 34.50N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
