datum_name,description,spheroid_name,merid_id,origin_name,origin_lat,origin_long,angle_id,origin_height,height_id,usearea_id,ref_datum,source,visibility,release
NAHRWAN ,NAHRWAN 1967 ,CLA80MOD,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,SD 15/11/82. USED IN SOME AREAS OF GULF STATES. ,SURVEY,PUBLIC 
NTF ,N.T.F. ,CLA80IGN,1 ,PANTHEON ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. Angular measure is often expressed in grads. See NTFPARIS. ,SURVEY,PUBLIC 
NTFPARG ,N.T.F ,CLA80IGN,5,PANTHEON ,0.0 ,0.0 ,3 ,0.0 ,1 ,20,NTF ,R.A.S - TEMPORARY MNEMONIC FOR WISARD TO BE REPLACED BY 'NTFPARIS' ,SURVEY,PUBLIC 
NTFPARIS,N.T.F ,CLA80IGN,5,PANTHEON ,0.0 ,0.0 ,3 ,0.0 ,1 ,21,NTF ,R.A.S - UNITS CHANGED TO GRADS (9/5/88) NEW VERSIONS : CALCESETCALCCONV ,SURVEY,PUBLIC 
NWL9D ,NWL-9D ,NWL9D ,1 ,GEOCENTRE ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 28/4/83 ,SURVEY,PUBLIC 
NZGD49 ,NEW ZEALAND 1949 ,INT24 ,1 ,PAPATAHI ,-41.3191389 ,175.0475 ,1 ,0.0 ,1 ,1,,RJL 8/4/83. USED IN NEW ZEALAND. ,SURVEY,PUBLIC 
OSGB36 ,ORDNANCE SURVEY 1936,AIRY ,1 ,HERSTMONCEUX ,50.8653531 ,0.3460783 ,1 ,0.0 ,1 ,1,,RJL 22/3/83 REF: S74. USED FOR MAPPING IN UK (excluding Northern Ireland). ,SURVEY,PUBLIC 
OSGB70 ,OSGB 1970 (SN) ,AIRY ,1 ,HERSTMONCEUX ,50.8653531 ,0.3460783 ,1 ,0.0 ,1 ,1,,RJL 22/3/83 ,SURVEY,PUBLIC 
OSSN80 ,OS (SN) 1980 ,AIRY ,1 ,HERSTMONCEUX ,50.8653531 ,0.3460783 ,1 ,0.0 ,1 ,1,,RJL 20/12/83 ,SURVEY,PUBLIC 
PADANG ,PADANG 1884 ,BESS1841,1 ,PADANG ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 30/10/84. USED IN N'thn SUMATRA.Alsocalled BATAVIA or GENUK (See also IND74),SURVEY,PUBLIC 
