proj_name,zone,hemisphere,
NUTM01 ,01,N 
NUTM02 ,02,N 
NUTM03 ,03,N 
NUTM04 ,04,N 
NUTM05 ,05,N 
NUTM06 ,06,N 
NUTM07 ,07,N 
NUTM08 ,08,N 
NUTM09 ,09,N 
NUTM10 ,10,N 
NUTM11 ,11,N 
NUTM12 ,12,N 
NUTM13 ,13,N 
NUTM14 ,14,N 
NUTM15 ,15,N 
NUTM16 ,16,N 
NUTM17 ,17,N 
NUTM18 ,18,N 
NUTM19 ,19,N 
NUTM20 ,20,N 
NUTM21 ,21,N 
NUTM22 ,22,N 
NUTM23 ,23,N 
NUTM24 ,24,N 
NUTM25 ,25,N 
NUTM26 ,26,N 
NUTM27 ,27,N 
NUTM28 ,28,N 
NUTM29 ,29,N 
NUTM30 ,30,N 
NUTM31 ,31,N 
NUTM32 ,32,N 
NUTM33 ,33,N 
NUTM34 ,34,N 
NUTM35 ,35,N 
NUTM36 ,36,N 
NUTM37 ,37,N 
NUTM38 ,38,N 
NUTM39 ,39,N 
NUTM40 ,40,N 
NUTM41 ,41,N 
NUTM42 ,42,N 
NUTM43 ,43,N 
NUTM44 ,44,N 
NUTM45 ,45,N 
NUTM46 ,46,N 
NUTM47 ,47,N 
NUTM48 ,48,N 
NUTM49 ,49,N 
NUTM50 ,50,N 
NUTM51 ,51,N 
NUTM52 ,52,N 
NUTM53 ,53,N 
NUTM54 ,54,N 
NUTM55 ,55,N 
NUTM56 ,56,N 
NUTM57 ,57,N 
NUTM58 ,58,N 
NUTM59 ,59,N 
NUTM60 ,60,N 
SUTM01 ,01,S 
SUTM02 ,02,S 
SUTM03 ,03,S 
SUTM04 ,04,S 
SUTM05 ,05,S 
SUTM06 ,06,S 
SUTM07 ,07,S 
SUTM08 ,08,S 
SUTM09 ,09,S 
SUTM10 ,10,S 
SUTM11 ,11,S 
SUTM12 ,12,S 
SUTM13 ,13,S 
SUTM14 ,14,S 
SUTM15 ,15,S 
SUTM16 ,16,S 
SUTM17 ,17,S 
SUTM18 ,18,S 
SUTM19 ,19,S 
SUTM20 ,20,S 
SUTM21 ,21,S 
SUTM22 ,22,S 
SUTM23 ,23,S 
SUTM24 ,24,S 
SUTM25 ,25,S 
SUTM26 ,26,S 
SUTM27 ,27,S 
SUTM28 ,28,S 
SUTM29 ,29,S 
SUTM30 ,30,S 
SUTM31 ,31,S 
SUTM32 ,32,S 
SUTM33 ,33,S 
SUTM34 ,34,S 
SUTM35 ,35,S 
SUTM36 ,36,S 
SUTM37 ,37,S 
SUTM38 ,38,S 
SUTM39 ,39,S 
SUTM40 ,40,S 
SUTM41 ,41,S 
SUTM42 ,42,S 
SUTM43 ,43,S 
SUTM44 ,44,S 
SUTM45 ,45,S 
SUTM46 ,46,S 
SUTM47 ,47,S 
SUTM48 ,48,S 
SUTM49 ,49,S 
SUTM50 ,50,S 
SUTM51 ,51,S 
SUTM52 ,52,S 
SUTM53 ,53,S 
SUTM54 ,54,S 
SUTM55 ,55,S 
SUTM56 ,56,S 
SUTM57 ,57,S 
SUTM58 ,58,S 
SUTM59 ,59,S 
SUTM60 ,60,S 
NUTMF01 ,01,N 
NUTMF02 ,02,N 
NUTMF03 ,03,N 
NUTMF04 ,04,N 
NUTMF05 ,05,N 
NUTMF06 ,06,N 
NUTMF07 ,07,N 
NUTMF08 ,08,N 
NUTMF09 ,09,N 
NUTMF10 ,10,N 
NUTMF11 ,11,N 
NUTMF12 ,12,N 
NUTMF13 ,13,N 
NUTMF14 ,14,N 
NUTMF15 ,15,N 
NUTMF16 ,16,N 
NUTMF17 ,17,N 
NUTMF18 ,18,N 
NUTMF19 ,19,N 
NUTMF20 ,20,N 
NUTMF21 ,21,N 
NUTMF22 ,22,N 
NUTMF23 ,23,N 
NUTMF24 ,24,N 
NUTMF25 ,25,N 
NUTMF26 ,26,N 
NUTMF27 ,27,N 
NUTMF28 ,28,N 
NUTMF29 ,29,N 
NUTMF30 ,30,N 
NUTMF31 ,31,N 
NUTMF32 ,32,N 
NUTMF33 ,33,N 
NUTMF34 ,34,N 
NUTMF35 ,35,N 
NUTMF36 ,36,N 
NUTMF37 ,37,N 
NUTMF38 ,38,N 
NUTMF39 ,39,N 
NUTMF40 ,40,N 
NUTMF41 ,41,N 
NUTMF42 ,42,N 
NUTMF43 ,43,N 
NUTMF44 ,44,N 
NUTMF45 ,45,N 
NUTMF46 ,46,N 
NUTMF47 ,47,N 
NUTMF48 ,48,N 
NUTMF49 ,49,N 
NUTMF50 ,50,N 
NUTMF51 ,51,N 
NUTMF52 ,52,N 
NUTMF53 ,53,N 
NUTMF54 ,54,N 
NUTMF55 ,55,N 
NUTMF56 ,56,N 
NUTMF57 ,57,N 
NUTMF58 ,58,N 
NUTMF59 ,59,N 
NUTMF60 ,60,N 
SUTMF01 ,01,S 
SUTMF02 ,02,S 
SUTMF03 ,03,S 
SUTMF04 ,04,S 
SUTMF05 ,05,S 
SUTMF06 ,06,S 
SUTMF07 ,07,S 
SUTMF08 ,08,S 
SUTMF09 ,09,S 
SUTMF10 ,10,S 
SUTMF11 ,11,S 
SUTMF12 ,12,S 
SUTMF13 ,13,S 
SUTMF14 ,14,S 
SUTMF15 ,15,S 
SUTMF16 ,16,S 
SUTMF17 ,17,S 
SUTMF18 ,18,S 
SUTMF19 ,19,S 
SUTMF20 ,20,S 
SUTMF21 ,21,S 
SUTMF22 ,22,S 
SUTMF23 ,23,S 
SUTMF24 ,24,S 
SUTMF25 ,25,S 
SUTMF26 ,26,S 
SUTMF27 ,27,S 
SUTMF28 ,28,S 
SUTMF29 ,29,S 
SUTMF30 ,30,S 
SUTMF31 ,31,S 
